Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
ZombieDance,0.534,0.963,9.0,-5.901,0.0,0.0571,0.000838,0.00477,0.0532,0.527,150.048,audio_features,3o86HNaujiaZFlTuwWuVw8,spotify:track:3o86HNaujiaZFlTuwWuVw8,https://api.spotify.com/v1/tracks/3o86HNaujiaZFlTuwWuVw8,https://api.spotify.com/v1/audio-analysis/3o86HNaujiaZFlTuwWuVw8,226900.0,4.0,celticmetal

Kotikonnut,0.608,0.945,7.0,-4.363,1.0,0.0422,0.000944,0.0,0.185,0.546,128.06,audio_features,0E8ij09wnUrRa8hs0DpIle,spotify:track:0E8ij09wnUrRa8hs0DpIle,https://api.spotify.com/v1/tracks/0E8ij09wnUrRa8hs0DpIle,https://api.spotify.com/v1/audio-analysis/0E8ij09wnUrRa8hs0DpIle,263760.0,4.0,celticmetal

DemonsAreaGirl�sBestFriend,0.468,0.933,1.0,-4.658,0.0,0.0685,0.000532,3.36e-06,0.119,0.392,143.076,audio_features,2Y3XyBCue0lRn1GtPpRcA1,spotify:track:2Y3XyBCue0lRn1GtPpRcA1,https://api.spotify.com/v1/tracks/2Y3XyBCue0lRn1GtPpRcA1,https://api.spotify.com/v1/audio-analysis/2Y3XyBCue0lRn1GtPpRcA1,218080.0,4.0,celticmetal

TimeandEternity,0.262,0.878,11.0,-9.106,0.0,0.0558,0.000291,0.707,0.201,0.571,180.046,audio_features,4haUMRXbvaQpXlh8HT6LHM,spotify:track:4haUMRXbvaQpXlh8HT6LHM,https://api.spotify.com/v1/tracks/4haUMRXbvaQpXlh8HT6LHM,https://api.spotify.com/v1/audio-analysis/4haUMRXbvaQpXlh8HT6LHM,410000.0,4.0,celticmetal

VrataZimy,0.488,0.414,2.0,-6.495,0.0,0.0269,0.0643,0.0,0.0729,0.0767,99.952,audio_features,1SKG2VH7kKoj0Urd0sNCvC,spotify:track:1SKG2VH7kKoj0Urd0sNCvC,https://api.spotify.com/v1/tracks/1SKG2VH7kKoj0Urd0sNCvC,https://api.spotify.com/v1/audio-analysis/1SKG2VH7kKoj0Urd0sNCvC,340800.0,4.0,celticmetal

Brunhild,0.425,0.94,11.0,-4.686,0.0,0.419,0.00402,0.0,0.0931,0.226,160.081,audio_features,7boMf260MltKw4RoohuQtE,spotify:track:7boMf260MltKw4RoohuQtE,https://api.spotify.com/v1/tracks/7boMf260MltKw4RoohuQtE,https://api.spotify.com/v1/audio-analysis/7boMf260MltKw4RoohuQtE,217592.0,4.0,celticmetal

Fire&Forgive,0.237,0.961,6.0,-4.437,0.0,0.25,0.00011,0.00321,0.0549,0.181,201.464,audio_features,6PymuwN5o39jyuxWDlpki9,spotify:track:6PymuwN5o39jyuxWDlpki9,https://api.spotify.com/v1/tracks/6PymuwN5o39jyuxWDlpki9,https://api.spotify.com/v1/audio-analysis/6PymuwN5o39jyuxWDlpki9,270680.0,4.0,celticmetal

